1,5,609-10129381-918001BLF-ND,10129381-918001BLF,CONN HEADER VERT,DAH201,5,0,0.45,2.25
2,15,A121481-ND,5-146281-2,CONN HEADER VERT 2POS 2.54MM,DAH201,15,0,0.391,5.87
3,3,102-4993-ND,SJ1-3555NG-BE,CONN JACK STEREO 3.5MM R/A,dah201,3,0,0.97,2.91
4,4,609-4711-ND,69192-406HLF,CONN HEADER VERT 6POS 2.54MM,DAH201,4,0,0.45,1.8
5,3,EG5350CT-ND,TL3305AF160QG,SWITCH TACTILE SPST-NO 50MA 12V,dah201,3,0,0.21,0.63
6,3,2223-CPI-137-83T-ND,CPI-137-83T,BUZZER PIEZO 5V 13.9MM TH,DAH201,3,0,2.01,6.03
7,3,102-TBL004V-508-02BE-2GY-ND,TBL004V-508-02BE-2GY,"TERMINAL BLOCK, SCREWLESS, 5.08,",dah201,3,0,0.69,2.07
8,5,SW320-ND,GRS-2013A-2000,SWITCH ROCKER SPDT 16A 125V,DAH201,5,0,1.04,5.2
9,5,A121482-ND,5-146281-3,CONN HEADER VERT 3POS 2.54MM,DAH201,5,0,0.6,3
10,3,BH23AW-ND,BH23AW,"BATT HOLDER A23 1 CELL 6"" LEADS",DAH201,3,0,1.87,5.61
11,8,UE27AC54100-ND,UE27AC54100,CONN RCPT USB2.0 TYPEA 4POS R/A,DAH201,8,0,0.67,5.36
12,10,399-4220-ND,C317C220J2G5TA,CAP CER 22PF 200V NP0 RADIAL,DAH201,10,0,0.127,1.27
13,10,0.0QBK-ND,ZOR-25-B-52-0R,RES 0 OHM JUMPER 1/4W AXIAL,DAH201,10,0,0.131,1.31
14,10,S1KHCT-ND,CFM12JT1K00,RES 1K OHM 5% 1/2W AXIAL,DAH201,10,0,0.067,0.67
15,10,CF12JT10K0CT-ND,CF12JT10K0,RES 10K OHM 5% 1/2W AXIAL,,10,0,0.072,0.72
16,2,SAM10918-ND,BNC7T-J-P-HN-RA-BH1,CONN BNC JACK R/A 75 OHM PCB,DAH201,2,0,20.83,41.66
17,16,516-HLMP-C423-ND,HLMP-C423,LED ORANGE CLEAR T-1 3/4 T/H,DAH201,16,0,0.481,7.7
18,10,CF12JT150RCT-ND,CF12JT150R,RES 150 OHM 5% 1/2W AXIAL,DAH201,10,0,0.072,0.72
19,2,1568-1526-ND,COM-09032,JOYSTICK 10K OHM 2 AXIS TH,DAH201,2,0,4.5,9
20,10,445-180543-1-ND,FA18X7R1E105KRU06,CAP CER 1UF 25V X7R RADIAL,DAH201,10,0,0.257,2.57
21,4,CWI278-ND,GPB553B2L01BU,SWITCH PUSHBUTTON SPST 10A 14V,DAH201,4,0,9.55,38.2
22,4,360-2827-ND,M2011SS1W01,SWITCH TOGGLE SPST 6A 125V,DAH201,4,0,4.73,18.92
